1NDDPI, 1998
43
21
1 Type
3 PK Enroll
4 K Enroll
4 1-6 Enroll
4 7-8 Enroll
4 9-12 Enroll
5 PK-12 Enroll
6 Avg PK Member
7 Avg K Member
7 Avg 1-6 Member
7 Avg 7-8 Member
7 Avg 9-12 Member
9 Avg PK-12 Member
4 91 Census 0-5
5 91 Census 6-17
4 93 Census 0-5
5 93 Census 6-17
4 95 Census 0-5
5 95 Census 6-17
9 Tax Val
9 Tax Val / Pupil
6 G F Mill Levy
6 Tot Mill Levy
9 Tot Revenue
9 Fund Group 1 Exp
8 Avg Cost / Pupil
5 PK Teachers
5 K Teachers
6 1-6 Teachers
6 7-8 Teachers
6 9-12 Teachers
3 Bus Routes
5 Pupils Transport
8 Tot Mileage
4 81 Census 0-5
5 81 Census 6-17
4 87 Census 0-5
5 87 Census 6-17
3 Number Buses
10Transport Exp
4 97 Census 0-5
5 97 Census 6-17
232
08036Driscoll 36     1000000000130006001600035000.000000.000023.000010.440014.11000047.55001600050001200049001500051000769640013743.57191.29191.2900031443800030642005139.5100.0000.00002.75001.25004.0000200037029064.00030000730022000640030038797.44000900056
08039Apple Creek 39  2000000000460000000000046000.000000.000043.240000.000000.00000043.24004100088003100098003200097001042941009747.11110.10227.5600033085700032611104221.6400.0000.00003.00000.00000.0000000000000000.00005000220027000860000000000.00004200107
08045Manning 45      3000000000090007000000016000.000002.000009.000006.000000.00000017.00001100021000700023000900023000136664004019.53219.88279.8500008779900009551303264.7100.0000.00000.95000.95000.0000000000000000.00017000210013000200000000000.00001400034
09001Fargo 1         1073097654091867351111836092.170930.885438.801798.123727.86011987.83649210795664611775753312021129950270010598.67289.54322.6606546891806457304304910.8506.5024.04257.30086.30173.3003800521202377.04012096705850099380601718281.11784012261
09002Kindred 2       1003005203380104022700724000.000046.640320.030122.300224.60000713.57018600527017100647018300639008028694013183.41163.77197.6800296377300288165203306.9100.0001.50016.00004.43012.6000900600158295.00203005050206004600140212994.11020700609
09004Maple Valley 4  1000002201190038009600275000.000021.000114.900043.300087.20000266.40010300248009700261007800263004910170018669.85172.10172.1000147872600145984104478.7000.0001.00011.00002.75008.0001100207122312.00104002650097002360100152133.56007200263
09006West Fargo 6    1036038522260793146304903051.130348.762231.520731.221455.87004818.50186404057197904271198004370049916575011232.35185.00249.0202085480802069543103926.3203.5008.50104.00036.05066.0403902113258456.92005032242022038910360574238.22199604444
09007Mapleton 7      2000001800870000000000105000.000019.000101.570000.000000.00000120.57011800253010800245009300234002231908009222.76126.16247.0300082764500080961504137.0100.0000.50006.00000.00000.0000100019006920.00057001360140002330020012453.78009300242
09017Central Cass 17 1015005503500146025300819000.000064.570333.320116.900257.34000772.13019100570024100604024700601009245163014911.55156.92221.8900329088200322363803572.8101.0001.50017.00004.70012.5100800376136952.00223006250208005420130159953.67025500620
09080Page 80         1000001400620021005900156002.000010.170060.480026.390059.50000158.54004300140004300143005000157002991400022158.52170.24178.1700094309300100947105145.8200.0000.50006.00001.82004.4600600112076260.00081001450078001500060077522.33004900135
09097Northern Cass 971003003202380058012000451000.000037.080202.060052.910137.88000429.93017800418016200420018400408008598326020768.90192.77236.3100275753100268088004936.5500.0001.00014.20003.76009.3101500379165746.00210004740177004080170158294.78014700414
10001Osnabrock 1     2000000100220000000000023000.000004.080027.000000.000000.00000031.08001600058001400052001500053001147158021644.49157.75166.6000027584400030845008486.5600.0000.50002.76000.00000.0000100019019722.00038000500032000600020024084.89001500053
10014Border Central 11000000200160007001900044000.000001.760018.440007.390023.15000050.74003500074002800066001700064002947957053599.22150.10150.1000057682400058231409730.2400.0000.50003.00001.13003.5000400054063240.00060001220043001030050056395.00001700055
