2NDDPI, 1998
13
31
1 Type
3 PK Enroll
3 K Enroll
3 1-6 Enroll
3 7-8 Enroll
4 9-12 Enroll
5 PK Teacher
6 K Teacher
6 1-6 Teacher
6 7-8 Teacher
6 9-12 Teacher
3 Rooms
428
3370Hagan Elem School          1000044232000000000.00001.00012.00000.00000.00016
3390Halliday Public School     5000008036018004300.00000.50003.00002.00005.00021
3432Hankinson Public School    5001023143057012200.00001.00008.14001.50008.93026
3444Griggs Co Central Elem-Hann1000000081000000000.00000.00005.00000.00000.00013
3478Harvey Elem School         1000038260090000000.00001.00015.50004.75000.00033
3479Harvey High School         3000000000000021600.00000.00000.00000.00010.77013
3500Harwood Elem School        1000000129000000000.00000.00006.00000.00000.00006
3504Hatton Public School       5002013125042009200.00000.50006.00002.00007.00025
3517Hawthorne Elem School      1069035164000000005.50001.00008.00000.00000.00014
3525Hazelton-Mof-Brad Elem Scho1000017067000000000.00000.50006.00000.00000.00009
3527Hazelton-Mof-Brad High Scho5000000000031006400.00000.00000.00001.71004.14010
3528Hazen Elem School          1009048295000000000.00001.50015.00000.00000.00032
3529Hazen High School          3000000000000032100.00000.00000.00000.00015.44021
3530Hazen Middle School        2000000085143000000.00000.00004.00006.38000.00015
3537Hebron Public School       5000010087041007400.00000.50006.50002.00007.75024
3599Hettinger Public School    5001035188079017000.00001.00012.04003.43008.43043
3612Highland Acres Elem School 1000019128000000000.00000.50006.00000.00000.00009
3623Hillcrest Elem School      1000021046000000000.00001.00002.50000.00000.00007
3630Hillsboro High School      5000000000082018000.00000.00000.00004.35010.15020
3633Hillsboro Elem School      1000034214000000000.00001.00014.03000.00000.00017
3721Valley High School         3000000000000006500.00000.00000.00000.00004.72010
3729Hope Public School         5000009080036005500.00000.50005.80001.68005.29017
3733Horace Mann Elem School    1000037237000000000.50001.00012.00000.00000.00018
3738Horace Elem School         1000000193000000000.00000.00010.00000.00000.00010
3741Horse Creek School         9000002004001000000.00000.30000.50000.20000.00002
3795Hughes Middle School       2000000000562027200.00000.00000.00027.97014.20038
3819Northern Cass Elem School-H1002023150000000000.00000.50008.20000.00000.00012
3831Hurdsfield Elem School     1000003019008000000.00000.22001.66000.92000.00004
4499J Nelson Kelly Elem School 1000060498000000003.00001.50023.00000.00000.00037
4570Jamestown High School      3000000000000102800.00000.00000.00000.00044.49055
4573Jamestown Middle School    2000000000472000000.00000.00000.00021.68000.00030
